序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,資料更正日期
1,陳亭妃,109年立法委員選舉,第一次賸餘,1090211,當選後與其公務有關之費用支出,三楓企業社,17980648,0.00,11250.00,,,,聯誼交際費用,金錢,臺南市安南區****,,,,,,,,
2,陳亭妃,109年立法委員選舉,第一次賸餘,1090211,當選後與其公務有關之費用支出,汶香花苑金香舖,40767704,0.00,400.00,,,,聯誼交際費用,金錢,,,,,,,,,
3,陳亭妃,109年立法委員選舉,第一次賸餘,1090211,當選後與其公務有關之費用支出,利順鮮花店,73864328,0.00,25800.00,,,,聯誼交際費用,金錢,臺南市安南區****,,,,,,,,
4,陳亭妃,109年立法委員選舉,第一次賸餘,1090212,當選後與其公務有關之費用支出,大豐花卉,21651485,0.00,3000.00,,,,聯誼交際費用,金錢,臺南市北區育****,,,,,,,,
5,陳亭妃,109年立法委員選舉,第一次賸餘,1090212,當選後與其公務有關之費用支出,久井企業股份有限公司久井安吉加油站,36883907,0.00,700.00,,,,油資,金錢,,,,,,,,,
6,陳亭妃,109年立法委員選舉,第一次賸餘,1090212,當選後與其公務有關之費用支出,中華郵政,69109808,0.00,67.00,,,,郵寄物品費用,金錢,,,,,,,,,
7,陳亭妃,109年立法委員選舉,第一次賸餘,1090213,當選後與其公務有關之費用支出,中華郵政,,0.00,60.00,,,,郵寄物品費用,金錢,臺南市中西區****,,,,,,,,
8,陳亭妃,109年立法委員選舉,第一次賸餘,1090214,當選後與其公務有關之費用支出,立暉蘭園,25783304,0.00,17000.00,,,,聯誼交際費用,金錢,臺南市安南區****,,,,,,,,
9,陳亭妃,109年立法委員選舉,第一次賸餘,1090215,當選後與其公務有關之費用支出,中華郵政,,0.00,92.00,,,,郵寄物品費用,金錢,臺南市中西區****,,,,,,,,
10,陳亭妃,109年立法委員選舉,第一次賸餘,1090215,當選後與其公務有關之費用支出,自由時報,,0.00,300.00,,,,書報訂閱費用,金錢,臺南市安平區****,,,,,,,,
11,陳亭妃,109年立法委員選舉,第一次賸餘,1090215,當選後與其公務有關之費用支出,亞太電信股份有限公司,70771579,0.00,13994.00,,,,電信費用,金錢,臺北市內湖區****,,,,,,,,
12,陳亭妃,109年立法委員選舉,第一次賸餘,1090215,當選後與其公務有關之費用支出,楊世芳,D12*******,0.00,12000.00,,,,租用競選辦事處費用,金錢,臺南市安南區****,,,,,,,,
13,陳亭妃,109年立法委員選舉,第一次賸餘,1090217,當選後與其公務有關之費用支出,中華郵政,69109808,0.00,3200.00,,,,郵寄物品費用,金錢,,,,,,,,,
14,陳亭妃,109年立法委員選舉,第一次賸餘,1090218,當選後與其公務有關之費用支出,久井企業股份有限公司久井安吉加油站,36883907,0.00,700.00,,,,油資,金錢,,,,,,,,,
15,陳亭妃,109年立法委員選舉,第一次賸餘,1090219,當選後與其公務有關之費用支出,民時新聞社,21339106,0.00,20000.00,,,,播放、傳送或刊登宣傳廣告費用,金錢,,,,,,,,,
16,陳亭妃,109年立法委員選舉,第一次賸餘,1090219,當選後與其公務有關之費用支出,中華電信股份有限公司臺灣南區電信分公司臺南營運處,69109906,0.00,5120.00,,,,電信費用,金錢,臺南市中西區****,,,,,,,,
17,陳亭妃,109年立法委員選舉,第一次賸餘,1090219,當選後與其公務有關之費用支出,中華電信股份有限公司臺灣南區電信分公司臺南營運處,69109906,0.00,3544.00,,,,電信費用,金錢,臺南市中西區****,,,,,,,,
18,陳亭妃,109年立法委員選舉,第一次賸餘,1090219,當選後與其公務有關之費用支出,亞太電信股份有限公司,70771579,0.00,885.00,,,,電信費用,金錢,臺北市內湖區****,,,,,,,,
19,陳亭妃,109年立法委員選舉,第一次賸餘,1090220,當選後與其公務有關之費用支出,中華郵政,,0.00,104.00,,,,郵寄物品費用,金錢,臺南市北區公****,,,,,,,,
20,陳亭妃,109年立法委員選舉,第一次賸餘,1090220,當選後與其公務有關之費用支出,久井企業股份有限公司久井安吉加油站,36883907,0.00,700.00,,,,油資,金錢,,,,,,,,,
21,陳亭妃,109年立法委員選舉,第一次賸餘,1090223,當選後與其公務有關之費用支出,久井企業股份有限公司久井安吉加油站,36883907,0.00,700.00,,,,油資,金錢,,,,,,,,,
