序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,資料更正日期
1,林德福,109年立法委員選舉,第一次賸餘,1090128,當選後與其公務有關之費用支出,老八風小吃店,31825534,0.00,1936.00,,,,餐飲支出,金錢,,,,,,,,,
2,林德福,109年立法委員選舉,第一次賸餘,1090212,當選後與其公務有關之費用支出,台灣銀行群賢分行,,0.00,200.00,,,,銀行手續費,金錢,台北市中正區****,2341*****,,,,,,,
3,林德福,109年立法委員選舉,第一次賸餘,1090213,當選後與其公務有關之費用支出,中華電信股份有限公司,92887342,0.00,1680.00,,,,電信費用-中華電信費,金錢,新北市永和區****,,,,,,,,
4,林德福,109年立法委員選舉,第一次賸餘,1090214,當選後與其公務有關之費用支出,和億生活股份有限公司,42266706,0.00,1352.00,,,,餐飲支出,金錢,,,,,,,,,
5,林德福,109年立法委員選舉,第一次賸餘,1090214,當選後與其公務有關之費用支出,世代街區股份有限公司,42518908,0.00,440.00,,,,餐飲支出,金錢,,,,,,,,,
6,林德福,109年立法委員選舉,第一次賸餘,1090214,當選後與其公務有關之費用支出,福來許生活企業股份有限公司,53946049,0.00,1375.00,,,,餐飲支出,金錢,,,,,,,,,
7,林德福,109年立法委員選舉,第一次賸餘,1090215,當選後與其公務有關之費用支出,爭鮮股份有限公司,24802563,0.00,270.00,,,,餐飲支出,金錢,,,,,,,,,
8,林德福,109年立法委員選舉,第一次賸餘,1090215,當選後與其公務有關之費用支出,昇業興食品有限公司,42484956,0.00,840.00,,,,餐飲支出,金錢,,,,,,,,,
9,林德福,109年立法委員選舉,第一次賸餘,1090220,捐贈教育、文化、公益、慈善機構或團體支出,財團法人新店高級中學文教基金會,17429956,0.00,100000.00,,,,捐贈教育、文化、公益、慈善機構或團體支出,金錢,新北市新店區****,2219*****,,,,,,,
10,林德福,109年立法委員選舉,第一次賸餘,1090220,當選後與其公務有關之費用支出,盛康實業股份有限公司,23939014,0.00,28800.00,,,,包裝飲用水瓶,金錢,新北市永和區****,2922*****,,,,,,,
11,林德福,109年立法委員選舉,第一次賸餘,1090221,當選後與其公務有關之費用支出,台灣大哥大股份有限公司,97176270,0.00,199.00,,,,電信費用-台灣大哥大電信費,金錢,臺北市信義區****,,,,,,,,
12,林德福,109年立法委員選舉,第一次賸餘,1090223,當選後與其公務有關之費用支出,一杯起餐飲股份有限公司,82798383,0.00,8943.00,,,,餐飲支出,金錢,,,,,,,,,
