序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,林保祿,111年新竹縣議員選舉,首次申報,1111006,宣傳支出,鴻端數位有限公司,83239401,0.00,118400.00,,,,製作競選物品或宣傳廣告費用（濕紙巾一批）,金錢,臺北市大安區****,,否,,,,,,,
2,林保祿,111年新竹縣議員選舉,首次申報,1111021,雜支支出,中華電信,88849347,0.00,1508.00,,,,電信費用-電話裝置費,金錢,新竹縣新埔鎮****,0358*****,否,,,,,,,
3,林保祿,111年新竹縣議員選舉,首次申報,1111022,集會支出,圓頂帳篷出租,30331576,0.00,39500.00,,,,租用設備費用-舞台，長桌，長椅,金錢,新竹縣新埔鎮****,,否,,,,,,,
4,林保祿,111年新竹縣議員選舉,首次申報,1111022,集會支出,進畇餐飲,85305881,0.00,60000.00,,,,餐飲費用-份米粉滷味,金錢,新竹縣新埔鎮****,,否,,,,,,,
5,林保祿,111年新竹縣議員選舉,首次申報,1111026,宣傳支出,大地地理旅遊雜誌社,41171029,0.00,166080.00,,,,製作競選物品或宣傳廣告費用（明信片，小卡，文宣）,金錢,新竹縣新埔鎮****,,否,,,,,,,
6,林保祿,111年新竹縣議員選舉,首次申報,1111101,租用競選辦事處支出,龍川廣告社,13499987,0.00,27220.00,,,,裝潢競選辦事處費用-總部帆布廣告,金錢,新竹縣竹北市****,0355*****,否,,,,,,,
7,林保祿,111年新竹縣議員選舉,首次申報,1111101,宣傳支出,龍川廣告社,13499987,0.00,63072.00,,,,其他與選舉宣傳有關之費用-竹架帆布廣告,金錢,新竹縣竹北市****,0355*****,否,,,,,,,
8,林保祿,111年新竹縣議員選舉,首次申報,1111102,宣傳支出,嘉聯實業股份有限公司,22567325,0.00,364000.00,,,,製作競選物品或宣傳廣告費用（洗手乳瓶）,金錢,新竹縣新埔鎮****,,否,,,,,,,
9,林保祿,111年新竹縣議員選舉,首次申報,1111108,宣傳支出,鑫旺百貨商行,13494688,0.00,74260.00,,,,製作競選物品或宣傳廣告費用（旗幟，肩帶，選舉背心，候選人背心）,金錢,新竹縣新埔鎮****,,否,,,,,,,
10,林保祿,111年新竹縣議員選舉,首次申報,1111108,宣傳支出,至德印刷行,47022080,0.00,8000.00,,,,製作競選物品或宣傳廣告費用（印刷文宣）,金錢,新竹縣新埔鎮****,0358*****,否,,,,,,,
11,林保祿,111年新竹縣議員選舉,首次申報,1111108,宣傳支出,新埔打字行,47089434,0.00,5500.00,,,,製作競選物品或宣傳廣告費用（懇請賜票張，銘謝賜票張）,金錢,新竹縣新埔鎮****,0358*****,否,,,,,,,
12,林保祿,111年新竹縣議員選舉,首次申報,1111116,租用宣傳車輛支出,鋐聲電器有限公司,48404369,0.00,8000.00,,,,其他與租用宣傳車輛有關之費用-租用宣傳車音響錄音費,金錢,新竹縣新埔鎮****,0358*****,否,,,,,,,
13,林保祿,111年新竹縣議員選舉,首次申報,1111117,租用宣傳車輛支出,俊傑汽車修護廠,,0.00,1200.00,,,,維修宣傳車輛費用-更換皮帶,金錢,新竹縣新埔鎮****,0937*****,否,,,,,,,
14,林保祿,111年新竹縣議員選舉,首次申報,1111117,宣傳支出,龍川廣告社,13499987,0.00,31900.00,,,,租用廣告看板或車體廣告費用-競選廣告車手拿牌帆布廣告,金錢,新竹縣竹北市****,0355*****,否,,,,,,,
15,林保祿,111年新竹縣議員選舉,首次申報,1111123,宣傳支出,晨旭創意策略顧問有限公司,82801107,0.00,36850.00,,,,播放、傳送或刊登宣傳廣告費用-車隊踩街攝影,金錢,臺北市信義區****,,否,,,,,,,
16,林保祿,111年新竹縣議員選舉,首次申報,1111123,集會支出,城伯外燴,99005323,0.00,10000.00,,,,餐飲費用-掃街米粉,金錢,新竹縣新埔鎮****,0358*****,否,,,,,,,
