序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,楊進福,111年桃園市議員選舉,首次申報,1110822,集會支出,冠達精業有限公司,27330659,0.00,7500.00,,,,餐飲費用,金錢,基隆市安樂區****,0952*****,否,,,,,,,
2,楊進福,111年桃園市議員選舉,首次申報,1110902,宣傳支出,東明廣告有限公司,28721401,0.00,82370.00,,,,其他與選舉宣傳有關之費用,金錢,新北市永和區****,0332*****,否,,,,,,,
3,楊進福,111年桃園市議員選舉,首次申報,1111005,雜支支出,譁琪商行,18165756,0.00,200.00,,,,餐飲費用,金錢,桃園市龜山區****,0332*****,否,,,,,,,
4,楊進福,111年桃園市議員選舉,首次申報,1111005,雜支支出,乙同菜行,94949864,0.00,720.00,,,,餐飲費用,金錢,桃園市龜山區****,0331*****,否,,,,,,,
5,楊進福,111年桃園市議員選舉,首次申報,1111011,雜支支出,中華電信股份有限公司,19683736,0.00,2534.00,,,,電信費用,金錢,桃園市桃園區****,,否,,,,,,,
6,楊進福,111年桃園市議員選舉,首次申報,1111012,宣傳支出,綺麗花藝工作坊,17682042,0.00,6000.00,,,,製作競選物品或宣傳廣告費用（物品名稱-盆花）,金錢,桃園市龜山區****,,否,,,,,,,
7,楊進福,111年桃園市議員選舉,首次申報,1111014,雜支支出,原玟百貨商行,,0.00,569.00,,,,雜項購置或修繕費用,金錢,桃園市龜山區****,,否,,,,,,,
8,楊進福,111年桃園市議員選舉,首次申報,1111014,雜支支出,原玟百貨商行,31716923,0.00,299.00,,,,雜項購置或修繕費用,金錢,桃園市龜山區****,0335*****,否,,,,,,,
9,楊進福,111年桃園市議員選舉,首次申報,1111015,雜支支出,譁琪商行,18165756,0.00,1360.00,,,,雜項購置或修繕費用,金錢,桃園市龜山區****,0332*****,否,,,,,,,
10,楊進福,111年桃園市議員選舉,首次申報,1111015,雜支支出,原玟百貨商行,31716923,0.00,60.00,,,,雜項購置或修繕費用,金錢,桃園市龜山區****,0335*****,否,,,,,,,
