序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,資料更正日期
1,金色力量黨,,109,1090711,雜支支出,海釣族海鮮小館,16606102,0.00,45580.00,,,,政黨餐會費用,金錢,新北市板橋區****,(02)*****,,,,,,,
2,金色力量黨,,109,1090717,雜支支出,泰呈國際有限公司,47084819,0.00,39900.00,,,,雜項購置或修繕費用,金錢,新北市蘆洲區****,(02)*****,,,,,,,
3,金色力量黨,,109,1090717,雜支支出,全家便利商店,24793184,0.00,1620.00,,,,寄件費用,金錢,臺北市中正區****,,,,,,,,
4,金色力量黨,,109,1090717,雜支支出,OK便利商店,53664104,0.00,240.00,,,,寄件費用,金錢,臺北市中正區****,,,,,,,,
5,金色力量黨,,109,1090717,雜支支出,萊爾富便利商店,24801656,0.00,600.00,,,,寄件費用,金錢,臺北市萬華區****,,,,,,,,
6,金色力量黨,,109,1090718,雜支支出,萊爾富便利商店,24801656,0.00,60.00,,,,寄件費用,金錢,臺北市萬華區****,,,,,,,,
7,金色力量黨,,109,1090718,雜支支出,全家便利商店,24793184,0.00,180.00,,,,寄件費用,金錢,臺北市中正區****,,,,,,,,
8,金色力量黨,,109,1090718,雜支支出,OK便利商店,53664104,0.00,60.00,,,,寄件費用,金錢,臺北市中正區****,,,,,,,,
9,金色力量黨,,109,1090721,雜支支出,中華郵政,03717020,0.00,900.00,,,,郵寄費,金錢,臺北市萬華區****,,,,,,,,
10,金色力量黨,,109,1090722,雜支支出,萊爾富便利商店,24801656,0.00,60.00,,,,寄件費用,金錢,臺北市萬華區****,,,,,,,,
11,金色力量黨,,109,1090722,雜支支出,全家便利商店,42375514,0.00,120.00,,,,寄件費用,金錢,臺北市萬華區****,,,,,,,,
12,金色力量黨,,109,1090722,雜支支出,全家便利商店,42375514,0.00,240.00,,,,寄件費用,金錢,臺北市萬華區****,,,,,,,,
13,金色力量黨,,109,1090722,雜支支出,中華郵政,03717020,0.00,528.00,,,,郵寄費,金錢,臺北市萬華區****,,,,,,,,
14,金色力量黨,,109,1090723,雜支支出,全家便利商店,42375514,0.00,420.00,,,,寄件費用,金錢,臺北市萬華區****,,,,,,,,
15,金色力量黨,,109,1090723,雜支支出,萊爾富便利商店,24801656,0.00,120.00,,,,寄件費用,金錢,臺北市萬華區****,,,,,,,,
16,金色力量黨,,109,1090723,雜支支出,中華郵政,03716789,0.00,48.00,,,,郵寄費,金錢,臺北市中正區****,,,,,,,,
17,金色力量黨,,109,1090723,雜支支出,中華郵政,03717020,0.00,504.00,,,,郵寄費,金錢,臺北市萬華區****,,,,,,,,
18,金色力量黨,,109,1090724,雜支支出,OK便利商店,53664104,0.00,60.00,,,,寄件費用,金錢,臺北市中正區****,,,,,,,,
19,金色力量黨,,109,1090724,雜支支出,中華郵政,03716789,0.00,112.00,,,,郵寄費,金錢,臺北市中正區****,,,,,,,,
20,金色力量黨,,109,1090727,雜支支出,全家便利商店,42375514,0.00,60.00,,,,寄件費用,金錢,臺北市萬華區****,,,,,,,,
21,金色力量黨,,109,1090801,雜支支出,藍新科技,70565326,0.00,3138.00,,,,第三方支付手續費,金錢,臺北市南港區****,(02)*****,,,,,,,
22,金色力量黨,,109,1090804,雜支支出,全家便利商店,42375514,0.00,60.00,,,,寄件費用,金錢,臺北市萬華區****,,,,,,,,
23,金色力量黨,,109,1090804,雜支支出,全家便利商店,42375514,0.00,120.00,,,,寄件費用,金錢,臺北市萬華區****,,,,,,,,
24,金色力量黨,,109,1090804,雜支支出,中華郵政,03717020,0.00,94.00,,,,郵寄費,金錢,臺北市萬華區****,,,,,,,,
25,金色力量黨,,109,1090805,雜支支出,OK便利商店,53664104,0.00,60.00,,,,寄件費用,金錢,臺北市中正區****,,,,,,,,
26,金色力量黨,,109,1090805,雜支支出,萊爾富便利商店,24801656,0.00,60.00,,,,寄件費用,金錢,臺北市萬華區****,,,,,,,,
27,金色力量黨,,109,1090818,雜支支出,中華郵政,03717020,0.00,560.00,,,,郵寄費,金錢,臺北市萬華區****,,,,,,,,
28,金色力量黨,,109,1090818,雜支支出,中華郵政,03717020,0.00,28.00,,,,郵寄費,金錢,臺北市萬華區****,,,,,,,,
29,金色力量黨,,109,1090819,雜支支出,中華郵政,03717020,0.00,48.00,,,,郵寄費,金錢,臺北市萬華區****,,,,,,,,
30,金色力量黨,,109,1090819,雜支支出,中華郵政,03717020,0.00,48.00,,,,郵寄費,金錢,臺北市萬華區****,,,,,,,,
31,金色力量黨,,109,1090820,雜支支出,全家便利商店,22660912,0.00,60.00,,,,寄件費用,金錢,臺北市萬華區****,,,,,,,,
32,金色力量黨,,109,1090822,雜支支出,7-11便利商店,22660912,0.00,60.00,,,,寄件費用,金錢,臺北市萬華區****,,,,,,,,
33,金色力量黨,,109,1090822,雜支支出,全家便利商店,42375514,0.00,120.00,,,,寄件費用,金錢,臺北市萬華區****,,,,,,,,
34,金色力量黨,,109,1090822,雜支支出,萊爾富便利商店,24801656,0.00,60.00,,,,寄件費用,金錢,臺北市萬華區****,,,,,,,,
35,金色力量黨,,109,1090824,雜支支出,中華郵政,03716789,0.00,32.00,,,,郵寄費,金錢,臺北市中正區****,,,,,,,,
36,金色力量黨,,109,1090825,雜支支出,全家便利商店,42375514,0.00,60.00,,,,寄件費用,金錢,臺北市萬華區****,,,,,,,,
37,金色力量黨,,109,1090827,雜支支出,中華郵政,03716789,0.00,56.00,,,,郵寄費,金錢,臺北市中正區****,,,,,,,,
38,金色力量黨,,109,1090901,雜支支出,藍新科技,70565326,0.00,160.00,,,,雜項購置或修繕費用,金錢,臺北市南港區****,(02)*****,,,,,,,
39,金色力量黨,,109,1090907,雜支支出,中華郵政,03716789,0.00,36.00,,,,郵寄費,金錢,臺北市中正區****,,,,,,,,
40,金色力量黨,,109,1090921,雜支支出,中華郵政,03717020,0.00,92.00,,,,郵寄費,金錢,臺北市萬華區****,,,,,,,,
41,金色力量黨,,109,1090929,雜支支出,中華郵政,03717020,0.00,60.00,,,,郵寄費,金錢,臺北市萬華區****,,,,,,,,
42,金色力量黨,,109,1091001,雜支支出,藍新科技,70565326,0.00,56.00,,,,第三方支付手續費,金錢,臺北市南港區****,(02)*****,,,,,,,
43,金色力量黨,,109,1091027,雜支支出,萊爾富便利商店,24801656,0.00,60.00,,,,寄件費用,金錢,臺北市信義區****,,,,,,,,
44,金色力量黨,,109,1091101,雜支支出,藍新科技,70565326,0.00,28.00,,,,第三方支付手續費,金錢,臺北市南港區****,(02)*****,,,,,,,
45,金色力量黨,,109,1091118,雜支支出,中華郵政,03716789,0.00,82.00,,,,郵寄費,金錢,臺北市中正區****,,,,,,,,
46,金色力量黨,,109,1091125,雜支支出,中華郵政,03716789,0.00,37.00,,,,郵寄費,金錢,臺北市中正區****,,,,,,,,
47,金色力量黨,,109,1091201,雜支支出,藍新科技,70565326,0.00,103.00,,,,第三方支付手續費,金錢,臺北市南港區****,(02)*****,,,,,,,
48,金色力量黨,,109,1091215,雜支支出,萊爾富便利商店,42375514,0.00,60.00,,,,寄件費用,金錢,臺北市萬華區****,,,,,,,,
