序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,張碩芳,111年桃園市議員選舉,首次申報,1110608,宣傳支出,井然有攝影音工作室,87425709,0.00,70000.00,,,,播放、傳送或刊登宣傳廣告費用,金錢,桃園市中壢區****,,否,,,,,,,
2,張碩芳,111年桃園市議員選舉,首次申報,1110613,宣傳支出,宏國真愛Ｅ區管理委員會,,0.00,3000.00,,,,租用廣告看板或車體廣告費用,金錢,桃園市桃園區****,,否,,,,,,,
3,張碩芳,111年桃園市議員選舉,首次申報,1110701,雜支支出,萬佳圖文創造訪工作坊,,0.00,2600.00,,,,雜項購置或修繕費用,金錢,桃園市桃園區****,,否,,,,,,,
4,張碩芳,111年桃園市議員選舉,首次申報,1110708,租用競選辦事處支出,瑪黑家居選物股份有限公司敦南門市,88104938,0.00,13209.00,,,,租買辦公設備費用,金錢,臺北市松山區****,,否,,,,,,,
5,張碩芳,111年桃園市議員選舉,首次申報,1110713,宣傳支出,冠閣有限公司,,0.00,5640.00,,,,製作競選物品或宣傳廣告費用（物品名稱-礦泉水）,金錢,桃園市桃園區****,,否,,,,,,,
6,張碩芳,111年桃園市議員選舉,首次申報,1110802,宣傳支出,錫安包裝,80443576,0.00,32500.00,,,,製作競選物品或宣傳廣告費用（物品名稱-夾鏈袋）,金錢,桃園市八德區****,,否,,,,,,,
7,張碩芳,111年桃園市議員選舉,首次申報,1110802,宣傳支出,錫安包裝實業有限公司,80443576,0.00,32500.00,,,,製作競選物品或宣傳廣告費用（物品名稱-透明夾鏈袋）,金錢,桃園市八德區****,,否,,,,,,,
8,張碩芳,111年桃園市議員選舉,首次申報,1110802,公共關係費用支出,永芸花藝時尚設計坊,82251216,0.00,5900.00,,,,聯誼交際費用,金錢,桃園市桃園區****,,否,,,,,,,
9,張碩芳,111年桃園市議員選舉,首次申報,1110806,宣傳支出,井然有攝影音工作室,87425709,0.00,70000.00,,,,播放、傳送或刊登宣傳廣告費用,金錢,桃園市中壢區****,,否,,,,,,,
10,張碩芳,111年桃園市議員選舉,首次申報,1110810,宣傳支出,泓泰食品有限公司,,0.00,5250.00,,,,製作競選物品或宣傳廣告費用（物品名稱-瓶水）,金錢,桃園市桃園區****,,否,,,,,,,
11,張碩芳,111年桃園市議員選舉,首次申報,1110810,宣傳支出,泓泰食品有限公司,,0.00,5250.00,,,,製作競選物品或宣傳廣告費用（物品名稱-礦泉水）,金錢,桃園市桃園區****,,否,,,,,,,
12,張碩芳,111年桃園市議員選舉,首次申報,1110819,雜支支出,福興包子饅頭店,,0.00,3864.00,,,,餐飲費用,金錢,桃園市桃園區****,,否,,,,,,,
13,張碩芳,111年桃園市議員選舉,首次申報,1110822,宣傳支出,心一企業股份有限公司,89494723,0.00,3483.00,,,,製作競選物品或宣傳廣告費用（物品名稱-紙箱版費）,金錢,高雄市仁武區****,(03)*****,否,,,,,,,
14,張碩芳,111年桃園市議員選舉,首次申報,1110822,宣傳支出,心一企業股份有限公司,89494723,0.00,47500.00,,,,製作競選物品或宣傳廣告費用（物品名稱-礦泉水）,金錢,高雄市仁武區****,(03)*****,否,,,,,,,
15,張碩芳,111年桃園市議員選舉,首次申報,1110827,公共關係費用支出,永芸花藝時尚設計坊,82251216,0.00,1400.00,,,,聯誼交際費用,金錢,桃園市桃園區****,,否,,,,,,,
16,張碩芳,111年桃園市議員選舉,首次申報,1110827,公共關係費用支出,永芸花藝時尚設計坊,82251216,0.00,3000.00,,,,聯誼交際費用,金錢,桃園市桃園區****,,否,,,,,,,
