序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,支出用途,金錢類,地址,聯絡電話,資料更正日期
1,吳世正,107年直轄市議員選舉,第一次賸餘,1071129,當選後與其公務有關之費用支出,樂生活商行,26355060,0.00,468.00,雜項購置或修繕費用,金錢,,,
2,吳世正,107年直轄市議員選舉,第一次賸餘,1071225,當選後與其公務有關之費用支出,全國加油站,09734449,0.00,1213.00,油資,金錢,,,
3,吳世正,107年直轄市議員選舉,第一次賸餘,1071225,當選後與其公務有關之費用支出,北都汽車公司,89392325,0.00,3600.00,雜項購置或修繕費用,金錢,,,
4,吳世正,107年直轄市議員選舉,第一次賸餘,1071229,當選後與其公務有關之費用支出,遠傳電信,97179430,0.00,1345.00,電信費用,金錢,,,
5,吳世正,107年直轄市議員選舉,第一次賸餘,1071230,當選後與其公務有關之費用支出,全國加油站,09734449,0.00,659.00,油資,金錢,,,
6,吳世正,107年直轄市議員選舉,第一次賸餘,1071230,當選後與其公務有關之費用支出,台灣達達有限公司,54159673,0.00,1680.00,餐飲費用,金錢,,,
7,吳世正,107年直轄市議員選舉,第一次賸餘,1080104,當選後與其公務有關之費用支出,全國加油站,09734449,0.00,673.00,油資,金錢,,,
8,吳世正,107年直轄市議員選舉,第一次賸餘,1080104,當選後與其公務有關之費用支出,新焦點汽車生活館,48814899,0.00,79.00,雜項購置或修繕費用,金錢,,,
9,吳世正,107年直轄市議員選舉,第一次賸餘,1080105,當選後與其公務有關之費用支出,計程車,,0.00,270.00,搭乘交通工具支出,金錢,,2759*****,
10,吳世正,107年直轄市議員選舉,第一次賸餘,1080105,當選後與其公務有關之費用支出,康寧加油站,23450344,0.00,500.00,油資,金錢,,,
11,吳世正,107年直轄市議員選舉,第一次賸餘,1080105,當選後與其公務有關之費用支出,金山停車場,23473698,0.00,90.00,停車費,金錢,,,
12,吳世正,107年直轄市議員選舉,第一次賸餘,1080108,當選後與其公務有關之費用支出,全國加油站,09734449,0.00,2216.00,油資,金錢,,,
13,吳世正,107年直轄市議員選舉,第一次賸餘,1080108,當選後與其公務有關之費用支出,遠雄流通事業,70397341,0.00,30.00,停車費,金錢,,,
14,吳世正,107年直轄市議員選舉,第一次賸餘,1080109,當選後與其公務有關之費用支出,郵局,,0.00,243.00,電信費用,金錢,,0800*****,
15,吳世正,107年直轄市議員選舉,第一次賸餘,1080109,當選後與其公務有關之費用支出,計程車,,0.00,395.00,搭乘交通工具支出,金錢,,2451*****,
16,吳世正,107年直轄市議員選舉,第一次賸餘,1080110,當選後與其公務有關之費用支出,台灣黃帽汽車,80335909,0.00,98.00,雜項購置或修繕費用,金錢,,,
17,吳世正,107年直轄市議員選舉,第一次賸餘,1080110,當選後與其公務有關之費用支出,中華電信(股),81691784,0.00,409.00,電信費用,金錢,,,
18,吳世正,107年直轄市議員選舉,第一次賸餘,1080112,當選後與其公務有關之費用支出,家福(股)公司,23928558,0.00,2823.00,文康活動費用,金錢,,,
19,吳世正,107年直轄市議員選舉,第一次賸餘,1080112,當選後與其公務有關之費用支出,車亭停車事業,38505616,0.00,75.00,停車費,金錢,,,
20,吳世正,107年直轄市議員選舉,第一次賸餘,1080112,當選後與其公務有關之費用支出,勝成餐飲,38635361,0.00,1483.00,餐飲費用,金錢,,,
21,吳世正,107年直轄市議員選舉,第一次賸餘,1080114,當選後與其公務有關之費用支出,北市停管處,,0.00,285.00,停車費,金錢,,2759*****,
22,吳世正,107年直轄市議員選舉,第一次賸餘,1080115,當選後與其公務有關之費用支出,台北農產運銷,04550147,0.00,30.00,停車費,金錢,,,
23,吳世正,107年直轄市議員選舉,第一次賸餘,1080115,當選後與其公務有關之費用支出,全國加油站,80981785,0.00,1685.00,油資,金錢,,,
24,吳世正,107年直轄市議員選舉,第一次賸餘,1080118,當選後與其公務有關之費用支出,中信停車,42308567,0.00,75.00,停車費,金錢,,,
