序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,李宗豪,111年桃園市議員選舉,首次申報,1110430,人事費用支出,李添弘,P12*******,0.00,34722.00,,,,薪資,金錢,新北市五股區****,0917*****,否,,,,,,,
2,李宗豪,111年桃園市議員選舉,首次申報,1110430,人事費用支出,李振華,P12*******,0.00,50000.00,,,,薪資,金錢,桃園市桃園區****,0917*****,否,,,,,,,
3,李宗豪,111年桃園市議員選舉,首次申報,1110501,宣傳支出,台灣連線股份有限公司,24556886,0.00,840.00,,,,發送電信簡訊費用,金錢,臺北市內湖區****,(02)*****,否,,,,,,,
4,李宗豪,111年桃園市議員選舉,首次申報,1110509,宣傳支出,快樂工坊有限公司,54358862,0.00,10605.00,,,,製作競選物品費用（物品名稱:氣球）,金錢,台北市士林區****,(02)*****,否,,,,,,,
5,李宗豪,111年桃園市議員選舉,首次申報,1110511,宣傳支出,台城衛生醫材有限公司,83076125,0.00,127890.00,,,,製作競選物品費用（物品名稱:口罩）,金錢,新北市樹林區****,(02)*****,否,,,,,,,
6,李宗豪,111年桃園市議員選舉,首次申報,1110512,雜支支出,全宏加油站股份有限公司,12742817,0.00,1010.00,,,,汽機車燃料費用,金錢,新北市中和區****,,否,,,,,,,
7,李宗豪,111年桃園市議員選舉,首次申報,1110512,雜支支出,台灣中油龜山站,43031587,0.00,880.00,,,,汽機車燃料費用,金錢,桃園市龜山區****,,否,,,,,,,
8,李宗豪,111年桃園市議員選舉,首次申報,1110512,宣傳支出,造象館,92867612,0.00,10500.00,,,,製作宣傳廣告費用,金錢,新北市中和區****,(02)*****,否,,,,,,,
9,李宗豪,111年桃園市議員選舉,首次申報,1110513,宣傳支出,三好印刷,30244377,0.00,930.00,,,,製作宣傳廣告費用,金錢,桃園市龜山區****,(03)*****,否,,,,,,,
10,李宗豪,111年桃園市議員選舉,首次申報,1110515,宣傳支出,宏洋旗幟社,42173073,0.00,9500.00,,,,製作宣傳廣告費用,金錢,桃園市桃園區****,(03)*****,否,,,,,,,
11,李宗豪,111年桃園市議員選舉,首次申報,1110516,雜支支出,盛棋科技有限公司,28925313,0.00,20000.00,,,,辦公設備費用,金錢,桃園市龜山區****,(03)*****,否,,,,,,,
12,李宗豪,111年桃園市議員選舉,首次申報,1110518,雜支支出,台灣中油龜山站,43031587,0.00,1143.00,,,,汽機車燃料費用,金錢,桃園市龜山區****,,否,,,,,,,
13,李宗豪,111年桃園市議員選舉,首次申報,1110520,宣傳支出,宏洋旗幟社,42173073,0.00,9000.00,,,,製作宣傳廣告費用,金錢,桃園市桃園區****,(03)*****,否,,,,,,,
14,李宗豪,111年桃園市議員選舉,首次申報,1110521,集會支出,久勝帆布行,47373439,0.00,3000.00,,,,租用設備支出,金錢,彰化縣溪州鄉****,0936*****,否,,,,,,,
15,李宗豪,111年桃園市議員選舉,首次申報,1110525,雜支支出,台灣中油中山站,43047309,0.00,985.00,,,,汽機車燃料費用,金錢,桃園市桃園區****,,否,,,,,,,
16,李宗豪,111年桃園市議員選舉,首次申報,1110530,人事費用支出,李振華,P12*******,0.00,50000.00,,,,薪資,金錢,桃園市桃園區****,0917*****,否,,,,,,,
17,李宗豪,111年桃園市議員選舉,首次申報,1110530,人事費用支出,李添弘,P12*******,0.00,35133.00,,,,薪資,金錢,新北市五股區****,0917*****,否,,,,,,,
18,李宗豪,111年桃園市議員選舉,首次申報,1110601,宣傳支出,台灣連線股份有限公司,24556886,0.00,840.00,,,,發送電信簡訊費用,金錢,臺北市內湖區****,(02)*****,否,,,,,,,
19,李宗豪,111年桃園市議員選舉,首次申報,1110602,雜支支出,台灣中油三民站,98249357,0.00,1090.00,,,,汽機車燃料費用,金錢,桃園市桃園區****,,否,,,,,,,
20,李宗豪,111年桃園市議員選舉,首次申報,1110605,宣傳支出,宏洋旗幟社,42173073,0.00,9625.00,,,,製作宣傳廣告費用,金錢,桃園市桃園區****,(03)*****,否,,,,,,,
21,李宗豪,111年桃園市議員選舉,首次申報,1110606,宣傳支出,造象館,92867612,0.00,2100.00,,,,製作宣傳廣告費用,金錢,新北市中和區****,(02)*****,否,,,,,,,
22,李宗豪,111年桃園市議員選舉,首次申報,1110607,宣傳支出,泊冠企業社,31573158,0.00,5000.00,,,,製作宣傳廣告費用,金錢,桃園市八德區****,(03)*****,否,,,,,,,
23,李宗豪,111年桃園市議員選舉,首次申報,1110607,雜支支出,野味便當店-巨蛋店,82789119,0.00,550.00,,,,餐飲費用,金錢,桃園市龜山區****,(03)*****,否,,,,,,,
24,李宗豪,111年桃園市議員選舉,首次申報,1110609,雜支支出,台灣中油龜山站,43031587,0.00,990.00,,,,汽機車燃料費用,金錢,桃園市龜山區****,,否,,,,,,,
25,李宗豪,111年桃園市議員選舉,首次申報,1110610,宣傳支出,台灣連線股份有限公司,24556886,0.00,690.00,,,,發送電信簡訊費用,金錢,臺北市內湖區****,(02)*****,否,,,,,,,
26,李宗豪,111年桃園市議員選舉,首次申報,1110612,宣傳支出,泊冠企業社,31573158,0.00,5000.00,,,,製作宣傳廣告費用,金錢,桃園市八德區****,(03)*****,否,,,,,,,
27,李宗豪,111年桃園市議員選舉,首次申報,1110613,雜支支出,台灣中油三民站,98249357,0.00,905.00,,,,汽機車燃料費用,金錢,桃園市桃園區****,,否,,,,,,,
28,李宗豪,111年桃園市議員選舉,首次申報,1110617,宣傳支出,藍格印刷國際企業有限公司,22076600,0.00,1197.00,,,,製作宣傳廣告費用,金錢,臺北市內湖區****,(02)*****,否,,,,,,,
29,李宗豪,111年桃園市議員選舉,首次申報,1110617,宣傳支出,泊冠企業社,31573158,0.00,5000.00,,,,製作宣傳廣告費用,金錢,桃園市八德區****,(03)*****,否,,,,,,,
30,李宗豪,111年桃園市議員選舉,首次申報,1110617,雜支支出,長庚加油站實業股份有限公司,86756027,0.00,1178.00,,,,汽機車燃料費用,金錢,桃園市龜山區****,,否,,,,,,,
31,李宗豪,111年桃園市議員選舉,首次申報,1110620,宣傳支出,藍格印刷國際企業有限公司,22076600,0.00,3560.00,,,,製作宣傳廣告費用,金錢,臺北市內湖區****,(02)*****,否,,,,,,,
32,李宗豪,111年桃園市議員選舉,首次申報,1110621,宣傳支出,宏洋旗幟社,42173073,0.00,9500.00,,,,製作宣傳廣告費用,金錢,桃園市桃園區****,(03)*****,否,,,,,,,
33,李宗豪,111年桃園市議員選舉,首次申報,1110621,雜支支出,台灣中油三民站,98249357,0.00,1070.00,,,,汽機車燃料費用,金錢,桃園市桃園區****,,否,,,,,,,
34,李宗豪,111年桃園市議員選舉,首次申報,1110623,宣傳支出,藍格印刷國際企業有限公司,22076600,0.00,1225.00,,,,製作宣傳廣告費用,金錢,臺北市內湖區****,(02)*****,否,,,,,,,
35,李宗豪,111年桃園市議員選舉,首次申報,1110623,雜支支出,龜記茗品-桃園中華店,90427596,0.00,692.00,,,,餐飲費用,金錢,桃園市桃園區****,(03)*****,否,,,,,,,
36,李宗豪,111年桃園市議員選舉,首次申報,1110624,宣傳支出,三好印刷,30244377,0.00,650.00,,,,製作宣傳廣告費用,金錢,桃園市龜山區****,(03)*****,否,,,,,,,
37,李宗豪,111年桃園市議員選舉,首次申報,1110624,宣傳支出,締智創意有限公司,85036681,0.00,4019.00,,,,製作競選物品費用（物品名稱:酒精瓶）,金錢,新北市汐止區****,0960*****,否,,,,,,,
38,李宗豪,111年桃園市議員選舉,首次申報,1110625,宣傳支出,泊冠企業社,31573158,0.00,5000.00,,,,製作宣傳廣告費用,金錢,桃園市八德區****,(03)*****,否,,,,,,,
39,李宗豪,111年桃園市議員選舉,首次申報,1110625,雜支支出,東勇加油站股份有限公司,89850026,0.00,992.00,,,,汽機車燃料費用,金錢,桃園市八德區****,,否,,,,,,,
40,李宗豪,111年桃園市議員選舉,首次申報,1110626,宣傳支出,宏洋旗幟社,42173073,0.00,9625.00,,,,製作宣傳廣告費用,金錢,桃園市桃園區****,(03)*****,否,,,,,,,
41,李宗豪,111年桃園市議員選舉,首次申報,1110628,宣傳支出,三好印刷,30244377,0.00,750.00,,,,製作宣傳廣告費用,金錢,桃園市龜山區****,(03)*****,否,,,,,,,
42,李宗豪,111年桃園市議員選舉,首次申報,1110630,人事費用支出,李添弘,P12*******,0.00,32536.00,,,,薪資,金錢,新北市五股區****,0917*****,否,,,,,,,
