序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,韓國瑜,109年總統、副總統選舉,第4次賸餘,1120113,參加公職人員選舉使用支出,高雄市計程車,,0.00,275.00,,,,搭乘交通工具費用,金錢,高雄市****,0722*****,否,,,,,,,
2,韓國瑜,109年總統、副總統選舉,第4次賸餘,1120113,參加公職人員選舉使用支出,中華郵政股份有限公司,03741302,0.00,200.00,,,,郵政劃撥工本費,金錢,臺北市大安區****,,否,,,,,,,
3,韓國瑜,109年總統、副總統選舉,第4次賸餘,1120113,參加公職人員選舉使用支出,台灣高速鐵路股份有限公司,16446274,0.00,1120.00,,,,搭乘交通工具費用,金錢,臺北市南港區****,,否,,,,,,,
4,韓國瑜,109年總統、副總統選舉,第4次賸餘,1120113,參加公職人員選舉使用支出,中興電工機械股份有限公司嘟嘟房高鐵雲林站,47427625,0.00,135.00,,,,停車費,金錢,雲林縣虎尾鎮****,,否,,,,,,,
5,韓國瑜,109年總統、副總統選舉,第4次賸餘,1120113,捐贈教育、文化、公益、慈善機構或團體支出,財團法人臺北市典亮慈善基金會,77733214,0.00,2000000.00,,,,捐贈教育、文化、公益、慈善機構或團體支出,金錢,台北市中山區****,,是,韓國瑜,董事長,,,本人(董事長),,
6,韓國瑜,109年總統、副總統選舉,第4次賸餘,1120113,捐贈教育、文化、公益、慈善機構或團體支出,社團法人臺灣多元藝術空間青年發展聯合會,88236564,0.00,300000.00,,,,捐贈教育、文化、公益、慈善機構或團體支出,金錢,臺北市文山區****,,否,,,,,,,
7,韓國瑜,109年總統、副總統選舉,第4次賸餘,1120114,參加公職人員選舉使用支出,釆舍花坊,81633899,0.00,2500.00,,,,為民服務費用,金錢,臺北市信義區****,,否,,,,,,,
8,韓國瑜,109年總統、副總統選舉,第4次賸餘,1120115,參加公職人員選舉使用支出,中華電信股份有限公司雲林營運處,63501100,0.00,1372.00,,,,電信費用,金錢,雲林縣斗六市****,,否,,,,,,,
9,韓國瑜,109年總統、副總統選舉,第4次賸餘,1120115,參加公職人員選舉使用支出,釆舍花坊,81633899,0.00,2500.00,,,,為民服務費用,金錢,臺北市信義區****,,否,,,,,,,
10,韓國瑜,109年總統、副總統選舉,第4次賸餘,1120208,參加公職人員選舉使用支出,農家園蘭花館,00346658,0.00,2500.00,,,,為民服務費用,金錢,高雄市三民區****,,否,,,,,,,
