序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,林秋霖,111年桃園市復興區區長選舉,首次申報,1110701,雜支支出,富邦媒體科技公司,27365925,0.00,2912.00,,,,書報雜誌費用,金錢,臺北市內湖區****,,否,,,,,,,
2,林秋霖,111年桃園市復興區區長選舉,首次申報,1110701,租用宣傳車輛支出,統一精工加油站,70892314,0.00,1472.00,,,,宣傳車輛燃料費用,金錢,桃園市桃園區****,,否,,,,,,,
3,林秋霖,111年桃園市復興區區長選舉,首次申報,1110701,租用宣傳車輛支出,統一精工加油站,70892314,0.00,497.00,,,,宣傳車輛燃料費用,金錢,桃園市桃園區****,,否,,,,,,,
4,林秋霖,111年桃園市復興區區長選舉,首次申報,1110702,租用宣傳車輛支出,統一精工加油站,70892314,0.00,487.00,,,,宣傳車輛燃料費用,金錢,桃園市桃園區****,,否,,,,,,,
5,林秋霖,111年桃園市復興區區長選舉,首次申報,1110702,公共關係費用支出,愛買,84893139,0.00,799.00,,,,聯誼交際費用,金錢,桃園市桃園區****,,否,,,,,,,
6,林秋霖,111年桃園市復興區區長選舉,首次申報,1110703,公共關係費用支出,愛買,84893139,0.00,3271.00,,,,聯誼交際費用,金錢,桃園市桃園區****,,否,,,,,,,
7,林秋霖,111年桃園市復興區區長選舉,首次申報,1110706,租用宣傳車輛支出,統一精工加油站,70892314,0.00,1539.00,,,,宣傳車輛燃料費用,金錢,桃園市桃園區****,,否,,,,,,,
8,林秋霖,111年桃園市復興區區長選舉,首次申報,1110709,租用宣傳車輛支出,統一精工加油站,70892314,0.00,975.00,,,,宣傳車輛燃料費用,金錢,桃園市桃園區****,,否,,,,,,,
9,林秋霖,111年桃園市復興區區長選舉,首次申報,1110709,租用宣傳車輛支出,統一精工加油站,70892314,0.00,492.00,,,,宣傳車輛燃料費用,金錢,桃園市桃園區****,,否,,,,,,,
10,林秋霖,111年桃園市復興區區長選舉,首次申報,1110711,租用宣傳車輛支出,統一精工加油站,70892314,0.00,974.00,,,,宣傳車輛燃料費用,金錢,桃園市桃園區****,,否,,,,,,,
11,林秋霖,111年桃園市復興區區長選舉,首次申報,1110714,租用宣傳車輛支出,統一精工加油站,70892314,0.00,975.00,,,,宣傳車輛燃料費用,金錢,桃園市桃園區****,,否,,,,,,,
12,林秋霖,111年桃園市復興區區長選舉,首次申報,1110716,租用宣傳車輛支出,統一精工加油站,70892314,0.00,586.00,,,,宣傳車輛燃料費用,金錢,桃園市桃園區****,,否,,,,,,,
13,林秋霖,111年桃園市復興區區長選舉,首次申報,1110717,租用宣傳車輛支出,統一精工加油站,70892314,0.00,975.00,,,,宣傳車輛燃料費用,金錢,桃園市桃園區****,,否,,,,,,,
