序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,資料更正日期
1,李建昌,107年直轄市議員選舉,第二次賸餘,1090102,當選後與其公務有關之費用支出,美其香食品行,24044909,0.00,5680.00,,,,雜項-瓶裝水,金錢,,,,,,,,,
2,李建昌,107年直轄市議員選舉,第二次賸餘,1090103,當選後與其公務有關之費用支出,麗明花苑,04804711,0.00,6000.00,,,,為民服務費用,金錢,,,,,,,,,
3,李建昌,107年直轄市議員選舉,第二次賸餘,1090104,當選後與其公務有關之費用支出,辰淵企業股份有限公司,76349698,0.00,170.00,,,,停車費,金錢,,,,,,,,,
4,李建昌,107年直轄市議員選舉,第二次賸餘,1090105,當選後與其公務有關之費用支出,路惟舜,,0.00,90.00,,,,停車費,金錢,,0953*****,,,,,,,
5,李建昌,107年直轄市議員選舉,第二次賸餘,1090106,當選後與其公務有關之費用支出,中華郵政股份有限公司,,0.00,29.00,,,,郵寄物品費用,金錢,,02-2*****,,,,,,,
6,李建昌,107年直轄市議員選舉,第二次賸餘,1090106,當選後與其公務有關之費用支出,台灣中油南港加油站,01665932,0.00,160.00,,,,油資,金錢,,,,,,,,,
7,李建昌,107年直轄市議員選舉,第二次賸餘,1090106,當選後與其公務有關之費用支出,彩影有限公司,23629117,0.00,20475.00,,,,雜項-春聯設計印刷,金錢,新北市永和區****,02-2*****,,,,,,,
8,李建昌,107年直轄市議員選舉,第二次賸餘,1090107,當選後與其公務有關之費用支出,中華郵政股份有限公司花木營運所,,0.00,70.00,,,,郵寄物品費用,金錢,,02-2*****,,,,,,,
9,李建昌,107年直轄市議員選舉,第二次賸餘,1090107,當選後與其公務有關之費用支出,中華郵政股份有限公司,,0.00,56.00,,,,郵寄物品費用,金錢,,02-2*****,,,,,,,
10,李建昌,107年直轄市議員選舉,第二次賸餘,1090107,當選後與其公務有關之費用支出,嘟嘟房延吉站,42465819,0.00,180.00,,,,停車費,金錢,,,,,,,,,
11,李建昌,107年直轄市議員選舉,第二次賸餘,1090107,當選後與其公務有關之費用支出,辰淵企業股份有限公司花木營運所,76349698,0.00,170.00,,,,停車費,金錢,,,,,,,,,
12,李建昌,107年直轄市議員選舉,第二次賸餘,1090107,當選後與其公務有關之費用支出,百利金文具有限公司,84936469,0.00,296.00,,,,雜項-文具,金錢,,,,,,,,,
13,李建昌,107年直轄市議員選舉,第二次賸餘,1090108,當選後與其公務有關之費用支出,路惟舜,,0.00,90.00,,,,停車費,金錢,,0953*****,,,,,,,
14,李建昌,107年直轄市議員選舉,第二次賸餘,1090109,當選後與其公務有關之費用支出,台灣中油基隆路站,01802112,0.00,988.00,,,,油資,金錢,,,,,,,,,
