序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,林銘仁,111年新北市議員選舉,首次申報,1110804,雜支支出,信虹免洗餐具,,0.00,1200.00,,,,免洗杯一箱,金錢,新北市土城區****,,否,,,,,,,
2,林銘仁,111年新北市議員選舉,首次申報,1110821,集會支出,龍泉果菜行,01939428,0.00,7000.00,,,,座談會點心用菜,金錢,新北市板橋市****,,否,,,,,,,
3,林銘仁,111年新北市議員選舉,首次申報,1110823,集會支出,龍泉果菜行,01939428,0.00,7000.00,,,,座談會點心用菜,金錢,新北市板橋市****,,否,,,,,,,
4,林銘仁,111年新北市議員選舉,首次申報,1110825,集會支出,龍泉果菜行,01939428,0.00,7000.00,,,,座談會點心用菜,金錢,新北市板橋市****,,否,,,,,,,
5,林銘仁,111年新北市議員選舉,首次申報,1110825,集會支出,芳春商店,33163308,0.00,5000.00,,,,座談會點心用米,金錢,新北市土城區****,,否,,,,,,,
6,林銘仁,111年新北市議員選舉,首次申報,1110826,集會支出,鄭雅琪（環南市場第１１６號攤位）,99994938,0.00,5000.00,,,,座談會點心用菜,金錢,臺北市萬華區****,,否,,,,,,,
7,林銘仁,111年新北市議員選舉,首次申報,1110830,宣傳支出,瀛海矽康科技股份有限公司,27435788,0.00,119200.00,,,,製作競選物品或宣傳廣告費用（口罩）,金錢,南投縣南投市****,,否,,,,,,,
8,林銘仁,111年新北市議員選舉,首次申報,1110830,宣傳支出,瀛海矽康科技股份有限公司,27435788,0.00,212044.00,,,,製作競選物品或宣傳廣告費用（口罩盒）,金錢,南投縣南投市****,,否,,,,,,,
9,林銘仁,111年新北市議員選舉,首次申報,1110901,雜支支出,中華電信股份有限公司,92887342,0.00,8734.00,,,,電信費用月電話費,金錢,,,否,,,,,,,
10,林銘仁,111年新北市議員選舉,首次申報,1110904,集會支出,鄭雅琪（環南市場第１１６號攤位）,99994938,0.00,7000.00,,,,座談會點心用菜,金錢,臺北市萬華區****,,否,,,,,,,
11,林銘仁,111年新北市議員選舉,首次申報,1110905,集會支出,五昌製麵店,,0.00,5000.00,,,,座談會點心用麵條,金錢,臺北市內湖區****,,否,,,,,,,
12,林銘仁,111年新北市議員選舉,首次申報,1110905,集會支出,芳春商店,33163308,0.00,5000.00,,,,座談會點心用米,金錢,新北市土城區****,,否,,,,,,,
13,林銘仁,111年新北市議員選舉,首次申報,1110910,雜支支出,吉祥快餐店,13695051,0.00,1600.00,,,,總部餐費,金錢,新北市土城區****,,否,,,,,,,
14,林銘仁,111年新北市議員選舉,首次申報,1110910,雜支支出,福隆便當,34949257,0.00,975.00,,,,總部餐費,金錢,新北市新莊區****,,否,,,,,,,
15,林銘仁,111年新北市議員選舉,首次申報,1110910,集會支出,進興製麵商行,41081076,0.00,9000.00,,,,座談會點心用米粉,金錢,新北市土城區****,,否,,,,,,,
16,林銘仁,111年新北市議員選舉,首次申報,1110910,集會支出,鄭雅琪（環南市場第１１６號攤位）,99994938,0.00,7000.00,,,,座談會點心用菜,金錢,臺北市萬華區****,,否,,,,,,,
17,林銘仁,111年新北市議員選舉,首次申報,1110911,雜支支出,福隆便當,34949257,0.00,2275.00,,,,總部餐費,金錢,新北市新莊區****,,否,,,,,,,
18,林銘仁,111年新北市議員選舉,首次申報,1110912,集會支出,五昌製麵店,,0.00,7000.00,,,,座談會點心用麵條,金錢,臺北市內湖區****,,否,,,,,,,
19,林銘仁,111年新北市議員選舉,首次申報,1110912,雜支支出,員山排骨專賣店,42240523,0.00,2960.00,,,,總部餐費,金錢,新北市土城區****,,否,,,,,,,
20,林銘仁,111年新北市議員選舉,首次申報,1110913,集會支出,芳春商店,33163308,0.00,5000.00,,,,座談會點心用米,金錢,新北市土城區****,,否,,,,,,,
21,林銘仁,111年新北市議員選舉,首次申報,1110913,雜支支出,歐巴懷舊鐵路便當,34885253,0.00,1360.00,,,,總部餐費,金錢,新北市土城區****,,否,,,,,,,
22,林銘仁,111年新北市議員選舉,首次申報,1110913,雜支支出,福隆便當,34949257,0.00,845.00,,,,總部餐費,金錢,新北市新莊區****,,否,,,,,,,
23,林銘仁,111年新北市議員選舉,首次申報,1110915,集會支出,金時代音響企業社,26519211,0.00,18000.00,,,,座談會舞台車.燈光,金錢,新北市樹林區****,,否,,,,,,,
24,林銘仁,111年新北市議員選舉,首次申報,1110915,集會支出,廉承企業社,34760922,0.00,12000.00,,,,搭棚,金錢,新北市三峽區****,,否,,,,,,,
25,林銘仁,111年新北市議員選舉,首次申報,1110915,集會支出,鑫裕鮮蔬商行,91247431,0.00,7000.00,,,,座談會點心用菜,金錢,新北市土城區****,,否,,,,,,,
26,林銘仁,111年新北市議員選舉,首次申報,1110917,集會支出,金時代音響企業社,26519211,0.00,18000.00,,,,座談會舞台車.燈光,金錢,新北市樹林區****,,否,,,,,,,
27,林銘仁,111年新北市議員選舉,首次申報,1110917,集會支出,廉承企業社,34760922,0.00,10000.00,,,,座談會搭棚,金錢,新北市三峽區****,,否,,,,,,,
28,林銘仁,111年新北市議員選舉,首次申報,1110918,雜支支出,福隆便當,34949257,0.00,5980.00,,,,總部餐費,金錢,新北市新莊區****,,否,,,,,,,
29,林銘仁,111年新北市議員選舉,首次申報,1110918,雜支支出,員山排骨專賣店,42240523,0.00,6640.00,,,,總部餐費,金錢,新北市土城區****,,否,,,,,,,
30,林銘仁,111年新北市議員選舉,首次申報,1110919,雜支支出,庚林資訊有限公司,54025160,0.00,30700.00,,,,總部電腦,金錢,新北市土城區****,,否,,,,,,,
31,林銘仁,111年新北市議員選舉,首次申報,1110920,集會支出,五昌製麵店,,0.00,7000.00,,,,座談會點心用麵條,金錢,臺北市內湖區****,,否,,,,,,,
32,林銘仁,111年新北市議員選舉,首次申報,1110920,集會支出,金時代音響企業社,26519211,0.00,18000.00,,,,座談會舞台車.燈光,金錢,新北市樹林區****,,否,,,,,,,
33,林銘仁,111年新北市議員選舉,首次申報,1110920,集會支出,森活流行企業社,29351757,0.00,12000.00,,,,座談會搭棚,金錢,新北市土城區****,,否,,,,,,,
34,林銘仁,111年新北市議員選舉,首次申報,1110920,集會支出,芳春商店,33163308,0.00,5000.00,,,,座談會點心用米,金錢,新北市土城區****,,否,,,,,,,
