序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,資料更正日期
1,蔡易餘,109年立法委員選舉,第一次賸餘,1090526,當選後與其公務有關之費用支出,光陽室內裝修工程行,47866187,0.00,16800.00,,,,裝潢費用,金錢,嘉義市福全里****,,,,,,,,
2,蔡易餘,109年立法委員選舉,第一次賸餘,1090526,當選後與其公務有關之費用支出,森威企業社,81407140,0.00,96600.00,,,,裝潢費用,金錢,台南市南區中****,,,,,,,,
3,蔡易餘,109年立法委員選舉,第一次賸餘,1090601,當選後與其公務有關之費用支出,森品家具有限公司,24656294,0.00,161910.00,,,,購置物品費用,金錢,嘉義市西區磚****,,,,,,,,
4,蔡易餘,109年立法委員選舉,第一次賸餘,1090601,當選後與其公務有關之費用支出,聰靖水電工程行,81296067,0.00,32385.00,,,,水電瓦斯費用,金錢,嘉義縣朴子市****,,,,,,,,
5,蔡易餘,109年立法委員選舉,第一次賸餘,1090605,當選後與其公務有關之費用支出,浩瀚通信工程行,18286344,0.00,100958.00,,,,網際網路費用,金錢,嘉義市八德路****,,,,,,,,
6,蔡易餘,109年立法委員選舉,第一次賸餘,1090609,當選後與其公務有關之費用支出,珍昌服裝實業有限公司,16972629,0.00,47292.00,,,,職員相關支出,金錢,嘉義縣太保市****,,,,,,,,
7,蔡易餘,109年立法委員選舉,第一次賸餘,1090610,當選後與其公務有關之費用支出,景稜鋼鋁業有限公司,53839218,0.00,86820.00,,,,裝潢費用,金錢,嘉義市西區頭****,,,,,,,,
8,蔡易餘,109年立法委員選舉,第一次賸餘,1090610,當選後與其公務有關之費用支出,巨陽工程行,85553235,0.00,67600.00,,,,水電瓦斯費用,金錢,嘉義市西區北****,,,,,,,,
9,蔡易餘,109年立法委員選舉,第一次賸餘,1090623,當選後與其公務有關之費用支出,嘉義縣水上鄉農會,65054582,0.00,20000.00,,,,購置物品費用,金錢,嘉義縣水上鄉****,,,,,,,,
10,蔡易餘,109年立法委員選舉,第一次賸餘,1090724,當選後與其公務有關之費用支出,鋒彩廣告企業社,29418856,0.00,114000.00,,,,刊登或託播宣傳廣告費用,金錢,嘉義縣民雄鄉****,,,,,,,,
11,蔡易餘,109年立法委員選舉,第一次賸餘,1090728,當選後與其公務有關之費用支出,聰靖水電工程行,81296067,0.00,14100.00,,,,水電瓦斯費用,金錢,嘉義縣朴子市****,,,,,,,,
12,蔡易餘,109年立法委員選舉,第一次賸餘,1090901,當選後與其公務有關之費用支出,正揚贈品社,93944601,0.00,197600.00,,,,購置物品費用,金錢,嘉義市保福里****,,,,,,,,
13,蔡易餘,109年立法委員選舉,第一次賸餘,1090913,當選後與其公務有關之費用支出,大橡科技有限公司,82818310,0.00,50400.00,,,,刊登或託播宣傳廣告費用,金錢,台北市中正區****,,,,,,,,
14,蔡易餘,109年立法委員選舉,第一次賸餘,1090918,當選後與其公務有關之費用支出,鋒彩廣告設計有限公司,83778575,0.00,42100.00,,,,製作宣傳廣告費用,金錢,嘉義縣民雄鄉****,,,,,,,,
15,蔡易餘,109年立法委員選舉,第一次賸餘,1090925,當選後與其公務有關之費用支出,宸緯資訊有限公司,70644791,0.00,12600.00,,,,雜項購置或修繕費用,金錢,,,,,,,,,
16,蔡易餘,109年立法委員選舉,第一次賸餘,1091106,當選後與其公務有關之費用支出,晉雅堂,05923340,0.00,45000.00,,,,購置物品費用,金錢,彰化縣鹿港鎮****,,,,,,,,
17,蔡易餘,109年立法委員選舉,第一次賸餘,1091106,當選後與其公務有關之費用支出,大橡科技有限公司,82818310,0.00,50400.00,,,,刊登或託播宣傳廣告費用,金錢,台北市中正區****,,,,,,,,
18,蔡易餘,109年立法委員選舉,第一次賸餘,1091228,當選後與其公務有關之費用支出,川灃印刷有限公司,83436894,0.00,38040.00,,,,購置物品費用,金錢,嘉義縣水上鄉****,,,,,,,,
