序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,資料更正日期
1,彭俊豪,109年立法委員選舉,第一次賸餘,1090307,當選後與其公務有關之費用支出,桃園市自閉症協進會,83316878,0.00,1000.00,,,,聯誼交際費用,金錢,,,,,,,,,
2,彭俊豪,109年立法委員選舉,第一次賸餘,1090314,當選後與其公務有關之費用支出,社團法人桃園市失智症關懷協會,26599930,0.00,1000.00,,,,聯誼交際費用,金錢,桃園市桃園區****,,,,,,,,
3,彭俊豪,109年立法委員選舉,第一次賸餘,1090317,當選後與其公務有關之費用支出,格上汽車租賃股份有限公司,12208883,0.00,90900.00,,,,租用宣傳車輛支出,金錢,臺北市大安區****,,,,,,,,
4,彭俊豪,109年立法委員選舉,第一次賸餘,1090501,當選後與其公務有關之費用支出,格上汽車租賃股份有限公司,12208883,0.00,92198.00,,,,租用宣傳車輛支出,金錢,臺北市大安區****,,,,,,,,
5,彭俊豪,109年立法委員選舉,第一次賸餘,1090502,當選後與其公務有關之費用支出,禾菘企業社,30174148,0.00,383.00,,,,餐飲支出,金錢,桃園市中壢區****,,,,,,,,
6,彭俊豪,109年立法委員選舉,第一次賸餘,1090511,當選後與其公務有關之費用支出,阿潭蔬果行,49677922,0.00,57.00,,,,餐飲支出,金錢,桃園市中壢區****,,,,,,,,
7,彭俊豪,109年立法委員選舉,第一次賸餘,1090511,當選後與其公務有關之費用支出,緯立傑有限公司,83489809,0.00,2910.00,,,,餐飲支出,金錢,桃園市中壢區****,,,,,,,,
8,彭俊豪,109年立法委員選舉,第一次賸餘,1090515,當選後與其公務有關之費用支出,統一精工股份有限公司中壢二站加油站,14948358,0.00,1155.00,,,,油資,金錢,桃園市中壢區****,,,,,,,,
9,彭俊豪,109年立法委員選舉,第一次賸餘,1090519,當選後與其公務有關之費用支出,禾菘企業社,30174148,0.00,481.00,,,,餐飲支出,金錢,桃園市中壢區****,,,,,,,,
10,彭俊豪,109年立法委員選舉,第一次賸餘,1090519,當選後與其公務有關之費用支出,建隆煤氣行,99459865,0.00,600.00,,,,水電瓦斯費用,金錢,桃園市中壢區****,,,,,,,,
11,彭俊豪,109年立法委員選舉,第一次賸餘,1090521,當選後與其公務有關之費用支出,禾菘企業社,30174148,0.00,175.00,,,,餐飲支出,金錢,桃園市中壢區****,,,,,,,,
12,彭俊豪,109年立法委員選舉,第一次賸餘,1090524,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處中壢工業區,44953265,0.00,465.00,,,,油資,金錢,桃園市中壢區****,,,,,,,,
13,彭俊豪,109年立法委員選舉,第一次賸餘,1090525,當選後與其公務有關之費用支出,禾菘企業社,30174148,0.00,260.00,,,,餐飲支出,金錢,桃園市中壢區****,,,,,,,,
14,彭俊豪,109年立法委員選舉,第一次賸餘,1090530,當選後與其公務有關之費用支出,禾菘企業社,30174148,0.00,776.00,,,,餐飲支出,金錢,桃園市中壢區****,,,,,,,,
15,彭俊豪,109年立法委員選舉,第一次賸餘,1090531,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處龍岡加油站,02700330,0.00,1319.00,,,,油資,金錢,桃園市中壢區****,,,,,,,,
16,彭俊豪,109年立法委員選舉,第一次賸餘,1090531,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處中壢工業區,44953265,0.00,412.00,,,,油資,金錢,桃園市中壢區****,,,,,,,,
17,彭俊豪,109年立法委員選舉,第一次賸餘,1090601,當選後與其公務有關之費用支出,禾菘企業社,30174148,0.00,289.00,,,,餐飲支出,金錢,桃園市中壢區****,,,,,,,,
18,彭俊豪,109年立法委員選舉,第一次賸餘,1090601,當選後與其公務有關之費用支出,阿潭蔬果行,49677922,0.00,98.00,,,,餐飲支出,金錢,桃園市中壢區****,,,,,,,,
19,彭俊豪,109年立法委員選舉,第一次賸餘,1090602,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處中壢工業區,44953265,0.00,428.00,,,,油資,金錢,台灣中油（股****,,,,,,,,
20,彭俊豪,109年立法委員選舉,第一次賸餘,1090604,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處龍岡加油站,02700330,0.00,428.00,,,,油資,金錢,桃園市中壢區****,,,,,,,,
21,彭俊豪,109年立法委員選舉,第一次賸餘,1090607,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處中壢工業區,44953265,0.00,354.00,,,,油資,金錢,桃園市中壢區****,,,,,,,,
22,彭俊豪,109年立法委員選舉,第一次賸餘,1090608,當選後與其公務有關之費用支出,阿潭蔬果行,49677922,0.00,177.00,,,,餐飲支出,金錢,桃園市中壢區****,,,,,,,,
23,彭俊豪,109年立法委員選舉,第一次賸餘,1090611,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處龍岡加油站,02700330,0.00,1000.00,,,,油資,金錢,桃園市中壢區****,,,,,,,,
24,彭俊豪,109年立法委員選舉,第一次賸餘,1090614,當選後與其公務有關之費用支出,台灣中油（股）公司油品行銷事業部桃園營業處龍岡加油站,02700330,0.00,752.00,,,,油資,金錢,桃園市中壢區****,,,,,,,,
25,彭俊豪,109年立法委員選舉,第一次賸餘,1090615,當選後與其公務有關之費用支出,阿潭蔬果行,49677922,0.00,203.00,,,,餐飲支出,金錢,桃園市中壢區****,,,,,,,,
26,彭俊豪,109年立法委員選舉,第一次賸餘,1090615,當選後與其公務有關之費用支出,桃園市中壢區復興社區發展協會,82296895,0.00,1000.00,,,,聯誼交際費用,金錢,,,,,,,,,
27,彭俊豪,109年立法委員選舉,第一次賸餘,1090617,當選後與其公務有關之費用支出,阿潭蔬果行,49677922,0.00,324.00,,,,餐飲支出,金錢,桃園市中壢區****,,,,,,,,
28,彭俊豪,109年立法委員選舉,第一次賸餘,1090617,當選後與其公務有關之費用支出,鉦曜五金商行,85249093,0.00,887.00,,,,雜項購置或修繕費用,金錢,桃園市新屋區****,,,,,,,,
29,彭俊豪,109年立法委員選舉,第一次賸餘,1090619,當選後與其公務有關之費用支出,阿潭蔬果行,49677922,0.00,137.00,,,,餐飲支出,金錢,桃園市中壢區****,,,,,,,,
30,彭俊豪,109年立法委員選舉,第一次賸餘,1090619,當選後與其公務有關之費用支出,鉦曜五金商行,85249093,0.00,72.00,,,,雜項購置或修繕費用,金錢,桃園市新屋區****,,,,,,,,
31,彭俊豪,109年立法委員選舉,第一次賸餘,1090619,當選後與其公務有關之費用支出,建隆煤氣行,99459865,0.00,600.00,,,,水電瓦斯費用,金錢,桃園市中壢區****,,,,,,,,
