序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,資料更正日期
1,吳思瑤,109年立法委員選舉,第一次賸餘,1090214,當選後與其公務有關之費用支出,中華郵政,,0.00,28.00,,,,郵寄競選物品或宣傳廣告費用,金錢,臺北市北投區****,,,,,,,,2022/2/18 下午 03:31:57
2,吳思瑤,109年立法委員選舉,第一次賸餘,1090214,當選後與其公務有關之費用支出,計程車058-D8,,0.00,325.00,,,,搭乘交通工具費用,金錢,,0227*****,,,,,,,2022/2/18 下午 03:31:57
3,吳思瑤,109年立法委員選舉,第一次賸餘,1090214,當選後與其公務有關之費用支出,聖洋科技,28112580,0.00,11550.00,,,,播放、傳送或刊登宣傳廣告費用,金錢,臺北市大安區****,,,,,,,,2022/2/18 下午 03:31:57
4,吳思瑤,109年立法委員選舉,第一次賸餘,1090214,當選後與其公務有關之費用支出,勝霖藥品,31587511,0.00,198.00,,,,雜項購置或修繕費用,金錢,新北市板橋區****,,,,,,,,2022/2/18 下午 03:31:57
5,吳思瑤,109年立法委員選舉,第一次賸餘,1090214,當選後與其公務有關之費用支出,石牌愛心加油站,70837220,0.00,757.00,,,,宣傳車輛燃料費用,金錢,臺北市北投區****,,,,,,,,2022/2/18 下午 03:31:57
6,吳思瑤,109年立法委員選舉,第一次賸餘,1090214,當選後與其公務有關之費用支出,中華電信股份有限公司,81691784,0.00,1637.00,,,,網際網路費用,金錢,台北市金山南****,,,,,,,,2022/2/18 下午 03:31:57
7,吳思瑤,109年立法委員選舉,第一次賸餘,1090214,當選後與其公務有關之費用支出,中華電信股份有限公司,81691784,0.00,2331.00,,,,電信費用,金錢,台北市金山南****,,,,,,,,2022/2/18 下午 03:31:57
8,吳思瑤,109年立法委員選舉,第一次賸餘,1090215,當選後與其公務有關之費用支出,燦坤3C,70746039,0.00,5000.00,,,,文康活動費用,金錢,新北市板橋區****,,,,,,,,2022/2/18 下午 03:31:57
9,吳思瑤,109年立法委員選舉,第一次賸餘,1090215,當選後與其公務有關之費用支出,燦坤3C,70746039,0.00,5000.00,,,,文康活動費用,金錢,新北市板橋區****,,,,,,,,2022/2/18 下午 03:31:57
10,吳思瑤,109年立法委員選舉,第一次賸餘,1090215,當選後與其公務有關之費用支出,燦坤3C,70746039,0.00,5000.00,,,,文康活動費用,金錢,新北市板橋區****,,,,,,,,2022/2/18 下午 03:31:57
11,吳思瑤,109年立法委員選舉,第一次賸餘,1090215,當選後與其公務有關之費用支出,燦坤3C,70746039,0.00,5000.00,,,,文康活動費用,金錢,新北市板橋區****,,,,,,,,2022/2/18 下午 03:31:57
12,吳思瑤,109年立法委員選舉,第一次賸餘,1090215,當選後與其公務有關之費用支出,燦坤3C,70746039,0.00,5000.00,,,,文康活動費用,金錢,新北市板橋區****,,,,,,,,2022/2/18 下午 03:31:57
