序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,康裕成,107年直轄市議員選舉,第3次賸餘,1100104,當選後與其公務有關之費用支出,鴻勝電腦事務用品行,80857195,0.00,1943.00,,,,雜項購置費用,金錢,,,,,,,,,,
2,康裕成,107年直轄市議員選舉,第3次賸餘,1100105,當選後與其公務有關之費用支出,商硯股份有限公司,12729321,0.00,134.00,,,,文具用品費用,金錢,,,,,,,,,,
3,康裕成,107年直轄市議員選舉,第3次賸餘,1100105,當選後與其公務有關之費用支出,禾豐園藝坊,41281124,0.00,1500.00,,,,為民服務費用,金錢,,,,,,,,,,
4,康裕成,107年直轄市議員選舉,第3次賸餘,1100105,當選後與其公務有關之費用支出,九華百貨有限公司,53885275,0.00,119.00,,,,雜項購置費用,金錢,,,,,,,,,,
5,康裕成,107年直轄市議員選舉,第3次賸餘,1100106,當選後與其公務有關之費用支出,聯合報憲政辦事處,,0.00,300.00,,,,書報雜誌費用,金錢,,3957*****,,,,,,,,
6,康裕成,107年直轄市議員選舉,第3次賸餘,1100106,當選後與其公務有關之費用支出,中華郵政,03741302,0.00,320.00,,,,郵寄物品費用,金錢,,,,,,,,,,
7,康裕成,107年直轄市議員選舉,第3次賸餘,1100106,當選後與其公務有關之費用支出,中華郵政,03741302,0.00,80.00,,,,郵寄物品費用,金錢,,,,,,,,,,
8,康裕成,107年直轄市議員選舉,第3次賸餘,1100107,當選後與其公務有關之費用支出,舒博資訊用品事業有限公司,13185536,0.00,1420.00,,,,文具用品費用,金錢,,,,,,,,,,
9,康裕成,107年直轄市議員選舉,第3次賸餘,1100107,當選後與其公務有關之費用支出,德昌文具行,83700991,0.00,55.00,,,,文具用品費用,金錢,,,,,,,,,,
10,康裕成,107年直轄市議員選舉,第3次賸餘,1100108,當選後與其公務有關之費用支出,台灣中油股份有限公司,06829147,0.00,1168.00,,,,油資,金錢,,,,,,,,,,
11,康裕成,107年直轄市議員選舉,第3次賸餘,1100108,當選後與其公務有關之費用支出,台灣中油股份有限公司,06957037,0.00,150.00,,,,清潔整理費用,金錢,,,,,,,,,,
12,康裕成,107年直轄市議員選舉,第3次賸餘,1100108,當選後與其公務有關之費用支出,寶宸生活館有限公司,54211489,0.00,225.00,,,,雜項購置費用,金錢,,,,,,,,,,
13,康裕成,107年直轄市議員選舉,第3次賸餘,1100108,當選後與其公務有關之費用支出,吉松海青果行,57974592,0.00,1680.00,,,,餐飲費用,金錢,,,,,,,,,,
14,康裕成,107年直轄市議員選舉,第3次賸餘,1100108,當選後與其公務有關之費用支出,辰吉商行,82757003,0.00,80.00,,,,餐飲費用,金錢,,,,,,,,,,
15,康裕成,107年直轄市議員選舉,第3次賸餘,1100111,當選後與其公務有關之費用支出,全國加油站,14248279,0.00,120.00,,,,清潔整理費用,金錢,,,,,,,,,,
16,康裕成,107年直轄市議員選舉,第3次賸餘,1100111,當選後與其公務有關之費用支出,布塞車汽車百貨有限公司,16823797,0.00,199.00,,,,雜項購置費用,金錢,,,,,,,,,,
17,康裕成,107年直轄市議員選舉,第3次賸餘,1100111,當選後與其公務有關之費用支出,鑫晉暘數位事務有限公司,28611571,0.00,2895.00,,,,租用設備費用,金錢,,,,,,,,,,
18,康裕成,107年直轄市議員選舉,第3次賸餘,1100114,當選後與其公務有關之費用支出,中華電信股份有限公司,19762247,0.00,499.00,,,,電信費用,金錢,,,,,,,,,,
19,康裕成,107年直轄市議員選舉,第3次賸餘,1100114,當選後與其公務有關之費用支出,中華電信股份有限公司,19762247,0.00,529.00,,,,電信費用,金錢,,,,,,,,,,
20,康裕成,107年直轄市議員選舉,第3次賸餘,1100114,當選後與其公務有關之費用支出,中華電信股份有限公司,19762247,0.00,1429.00,,,,電信費用,金錢,,,,,,,,,,
21,康裕成,107年直轄市議員選舉,第3次賸餘,1100114,當選後與其公務有關之費用支出,統一超商,70813141,0.00,190.00,,,,雜項購置費用,金錢,,,,,,,,,,
